season,season_label,date,location,outcome,point_margin,opponent,opp_conference,started,minutes,fg,fga,fg_pct,fg3,fg3a,ft,fta,rebounds,assists,steals,blocks,turnovers,points,game_score,double_double,triple_double,age
14,2009-10,2010-03-27,Away,W,8,HOU,Western,1,36.1,7,14,0.5,1,2,2,3,9,9,1,0,5,17,14.2,0,0,31
14,2009-10,2010-03-29,Away,L,-8,NOH,Western,1,41.27,10,18,0.556,2,5,9,11,5,6,1,0,3,31,24.1,0,0,31
14,2009-10,2010-03-31,Away,L,-17,ATL,Eastern,1,41.38,12,21,0.571,2,3,2,6,3,4,0,0,2,28,17.4,0,0,31
14,2009-10,2010-04-02,Home,W,14,UTA,Western,1,36.57,5,23,0.217,0,4,15,18,6,3,1,0,2,25,11.8,0,0,31
14,2009-10,2010-04-04,Home,L,-19,SAS,Western,1,41.13,8,24,0.333,2,6,4,6,8,6,0,0,4,22,10.2,0,0,31
14,2009-10,2010-04-11,Home,L,-3,POR,Western,1,40.07,8,23,0.348,3,6,1,3,4,2,0,0,1,20,7.5,0,0,31
15,2010-11,2010-10-26,Home,W,2,HOU,Western,1,37.04,8,20,0.4,0,3,11,12,5,7,1,0,1,27,21.8,0,0,32
15,2010-11,2010-10-29,Away,W,8,PHO,Western,1,33.54,9,19,0.474,2,5,5,5,7,3,0,0,3,25,16.5,0,0,32
15,2010-11,2010-10-31,Home,W,24,GSW,Western,1,26.59,8,16,0.5,1,4,3,4,7,2,0,0,4,20,11.5,0,0,32
15,2010-11,2010-11-02,Home,W,19,MEM,Western,1,25.46,7,13,0.538,3,5,6,8,5,1,1,0,2,23,16.7,0,0,32
15,2010-11,2010-11-03,Away,W,12,SAC,Western,1,36.28,9,22,0.409,3,6,9,10,10,12,1,0,1,30,28.8,0,1,32
15,2010-11,2010-11-05,Home,W,5,TOR,Eastern,1,34.22,6,12,0.5,0,3,11,12,4,6,3,1,3,23,21.9,0,0,32
15,2010-11,2010-11-07,Home,W,25,POR,Western,1,24.49,3,11,0.273,0,2,6,7,2,1,0,1,3,12,2.5,0,0,32
15,2010-11,2010-11-09,Home,W,5,MIN,Western,1,34.45,12,28,0.429,2,5,7,8,6,2,2,0,4,33,19.0,0,0,32
15,2010-11,2010-11-11,Away,L,-6,DEN,Western,1,41.01,11,32,0.344,3,10,9,13,3,5,1,0,2,34,16.6,0,0,32
15,2010-11,2010-11-14,Home,L,-5,PHO,Western,1,38.2,11,20,0.55,1,4,2,2,9,14,1,0,8,25,20.5,1,0,32
15,2010-11,2010-11-16,Away,W,11,MIL,Eastern,1,33.18,10,23,0.435,0,4,11,11,7,3,1,0,3,31,20.3,0,0,32
15,2010-11,2010-11-17,Away,W,13,DET,Eastern,1,31.44,11,20,0.55,3,6,8,8,9,4,2,0,3,33,27.9,0,0,32
15,2010-11,2010-11-19,Away,W,17,MIN,Western,1,31.24,8,27,0.296,1,4,6,7,8,2,1,1,4,23,8.4,0,0,32
15,2010-11,2010-11-21,Home,W,28,GSW,Western,1,26.39,7,16,0.438,0,2,6,6,6,5,0,0,0,20,16.9,0,0,32
15,2010-11,2010-11-23,Home,W,7,CHI,Eastern,1,37.11,8,18,0.444,1,2,3,3,2,5,1,0,4,20,11.3,0,0,32
15,2010-11,2010-11-26,Away,L,-6,UTA,Western,1,33.4,10,21,0.476,3,5,8,9,3,3,1,0,3,31,20.5,0,0,32
15,2010-11,2010-11-28,Home,L,-3,IND,Eastern,1,39.5,14,33,0.424,3,8,10,13,5,4,0,0,3,41,23.6,0,0,32
15,2010-11,2010-11-30,Away,L,-2,MEM,Western,1,37.02,9,25,0.36,1,6,10,12,7,5,1,0,3,29,18.7,0,0,32
15,2010-11,2010-12-01,Away,L,-10,HOU,Western,1,31.18,10,24,0.417,0,3,7,7,4,4,4,0,2,27,19.4,0,0,32
15,2010-11,2010-12-03,Home,W,33,SAC,Western,1,26.32,9,18,0.5,0,0,4,8,3,4,2,0,1,22,16.1,0,0,32
15,2010-11,2010-12-07,Home,W,7,WAS,Eastern,1,35.09,12,23,0.522,1,6,7,9,5,3,2,0,4,32,21.9,0,0,32
15,2010-11,2010-12-08,Away,W,1,LAC,Western,1,30.41,9,15,0.6,1,2,5,7,2,4,1,0,4,24,16.7,0,0,32
15,2010-11,2010-12-10,Away,L,-4,CHI,Eastern,1,37.47,9,23,0.391,1,4,4,6,5,7,3,1,1,23,17.6,0,0,32
15,2010-11,2010-12-12,Away,W,7,NJN,Eastern,1,35.1,9,19,0.474,3,6,11,13,4,6,4,0,6,32,23.7,0,0,32
15,2010-11,2010-12-14,Away,W,14,WAS,Eastern,1,23.47,7,13,0.538,4,6,6,10,5,4,1,0,1,24,19.2,0,0,32
15,2010-11,2010-12-15,Away,W,15,IND,Eastern,1,34.18,11,18,0.611,4,8,5,5,3,6,0,0,0,31,26.7,0,0,32
15,2010-11,2010-12-17,Away,W,12,PHI,Eastern,1,35.58,3,11,0.273,0,3,3,3,4,4,2,0,3,9,5.1,0,0,32
15,2010-11,2010-12-19,Away,W,10,TOR,Eastern,1,28.19,6,12,0.5,0,2,8,9,3,4,0,0,2,20,14.5,0,0,32
15,2010-11,2010-12-21,Home,L,-19,MIL,Eastern,1,31.39,9,16,0.563,0,2,3,3,3,2,1,0,4,21,12.7,0,0,32
15,2010-11,2010-12-25,Home,L,-16,MIA,Eastern,1,40.05,6,16,0.375,1,3,4,5,6,7,1,0,4,17,9.9,0,0,32
15,2010-11,2010-12-28,Away,L,-15,SAS,Western,1,30.54,8,27,0.296,3,7,2,2,5,1,1,0,5,21,3.1,0,0,32
15,2010-11,2010-12-29,Away,W,15,NOH,Western,1,27.54,8,14,0.571,0,3,4,7,3,4,2,0,7,20,8.9,0,0,32
15,2010-11,2010-12-31,Home,W,4,PHI,Eastern,1,35.02,13,24,0.542,1,3,6,8,4,2,2,0,4,33,21.2,0,0,32
15,2010-11,2011-01-02,Home,L,-19,MEM,Western,1,30.48,10,22,0.455,1,7,7,8,2,2,2,0,3,28,16.4,0,0,32
15,2010-11,2011-01-04,Home,W,25,DET,Eastern,1,29.48,6,18,0.333,0,1,5,8,7,8,1,0,1,17,12.9,0,0,32
15,2010-11,2011-01-05,Away,W,4,PHO,Western,1,35.35,9,17,0.529,2,6,4,6,7,5,1,0,3,24,19.3,0,0,32
15,2010-11,2011-01-07,Home,W,4,NOH,Western,1,39.29,10,19,0.526,1,4,4,5,1,4,1,0,0,25,18.6,0,0,32
15,2010-11,2011-01-09,Home,W,22,NYK,Eastern,1,35.39,10,28,0.357,3,6,4,4,10,5,0,0,4,27,13.1,1,0,32
15,2010-11,2011-01-11,Home,W,55,CLE,Eastern,1,24.38,5,10,0.5,1,2,2,2,5,8,2,0,0,13,16.3,0,0,32
15,2010-11,2011-01-12,Away,W,5,GSW,Western,1,36.27,13,21,0.619,2,5,11,11,6,4,3,0,6,39,31.1,0,0,32
15,2010-11,2011-01-14,Home,W,12,NJN,Eastern,1,35.5,10,19,0.526,0,1,7,9,4,4,0,0,0,27,20.5,0,0,32
15,2010-11,2011-01-16,Away,L,-7,LAC,Western,1,36.37,8,17,0.471,1,7,10,13,9,5,2,0,3,27,23.1,0,0,32
15,2010-11,2011-01-17,Home,W,7,OKC,Western,1,33.11,7,12,0.583,1,1,6,11,5,7,1,0,5,21,16.2,0,0,32
15,2010-11,2011-01-19,Away,L,-9,DAL,Western,1,35.33,10,18,0.556,0,2,1,2,4,10,0,0,3,21,17.2,1,0,32
15,2010-11,2011-01-21,Away,W,10,DEN,Western,1,32.32,8,15,0.533,0,2,2,3,6,7,1,0,1,18,17.0,0,0,32
15,2010-11,2011-01-25,Home,W,29,UTA,Western,1,26.05,7,11,0.636,0,2,7,8,1,6,2,0,3,21,18.4,0,0,32
15,2010-11,2011-01-28,Home,L,-5,SAC,Western,1,38.51,13,27,0.481,2,8,10,12,4,7,3,0,4,38,27.8,0,0,32
15,2010-11,2011-01-30,Home,L,-13,BOS,Eastern,1,38.18,16,29,0.552,3,5,6,7,3,0,0,0,2,41,23.6,0,0,32
15,2010-11,2011-02-01,Home,W,8,HOU,Western,1,45.08,13,25,0.52,0,3,6,7,6,11,1,0,4,32,25.4,1,0,32
15,2010-11,2011-02-03,Home,L,-1,SAS,Western,1,35.13,5,18,0.278,0,3,6,6,9,10,0,0,3,16,11.7,1,0,32
15,2010-11,2011-02-05,Away,W,6,NOH,Western,1,43.09,10,22,0.455,4,5,8,8,9,5,0,1,1,32,26.1,0,0,32
